Node,Keys,Algorithm
node0,100036,anchor_c
node1,100036,anchor_c
node2,100056,anchor_c
node3,100056,anchor_c
node4,99824,anchor_c
node5,99824,anchor_c
node6,100242,anchor_c
node7,100242,anchor_c
node8,99842,anchor_c
node9,99842,anchor_c
