Node,Keys,Algorithm
node0,94717,dx_c
node1,111152,dx_c
node2,102586,dx_c
node3,87969,dx_c
node4,94927,dx_c
node5,111460,dx_c
node6,102597,dx_c
node7,87953,dx_c
node8,94685,dx_c
node9,111954,dx_c
