add_ratio,remap_ratio
0.00,0.4001
0.10,0.4001
0.20,0.4001
0.30,0.4001
0.40,0.4001
0.50,0.4001
0.60,0.4001
0.70,0.4001
0.80,0.4001
0.90,0.4001
1.00,0.4001
