remove_ratio,remap_ratio
0.00,0.0000
0.05,0.0500
0.10,0.1000
0.15,0.1500
0.20,0.2000
0.25,0.2500
0.30,0.3000
0.35,0.3500
0.40,0.4000
0.45,0.4500
0.50,0.5000
