Node,Keys,Algorithm
node0,94717,dx_go
node1,111152,dx_go
node2,102586,dx_go
node3,87969,dx_go
node4,94927,dx_go
node5,111460,dx_go
node6,102597,dx_go
node7,87953,dx_go
node8,94685,dx_go
node9,111954,dx_go
