remove_ratio,remap_ratio
0.00,0.0000
0.10,0.0938
0.20,0.1875
0.30,0.2969
0.40,0.3906
0.50,0.5000
0.60,0.5937
0.70,0.6875
0.80,0.7969
0.90,0.8906
1.00,1.0000
